iter	Passed	Remaining
1111	805980	1368428
1112	806695	1367686
1113	807404	1366935
1114	808113	1366182
1115	808842	1365464
1116	809586	1364773
1117	810303	1364034
1118	811016	1363291
1119	811706	1362507
1120	812442	1361801
1121	813150	1361048
1122	813879	1360331
1123	814598	1359596
1124	815296	1358828
1125	816053	1358155
1126	816755	1357393
1127	817476	1356662
1128	818230	1355987
1129	818942	1355241
1130	819670	1354521
1131	820402	1353809
1132	821114	1353062
1133	821834	1352331
1134	822531	1351560
1135	823263	1350848
1136	824002	1350146
1137	824706	1349387
1138	825451	1348695
1139	826184	1347985
1140	826884	1347220
1141	827664	1346585
1142	828389	1345860
1143	829094	1345104
1144	829833	1344402
1145	830554	1343672
1146	831265	1342925
1147	831962	1342155
1148	832709	1341467
1149	833441	1340753
1150	834169	1340033
1151	834896	1339313
1152	835608	1338567
1153	836341	1337857
1154	837059	1337120
1155	837776	1336383
1156	838506	1335668
1157	839234	1334947
1158	839961	1334226
1159	840677	1333487
1160	841408	1332773
1161	842148	1332073
1162	842850	1331312
1163	843610	1330642
1164	844319	1329894
1165	845043	1329168
1166	845751	1328416
1167	846476	1327692
1168	847184	1326941
1169	847894	1326194
1170	848615	1325463
1171	849329	1324721
1172	850046	1323985
1173	850750	1323228
1174	851460	1322480
1175	852184	1321755
1176	852884	1320992
1177	853597	1320250
1178	854309	1319505
1179	855020	1318760
1180	855743	1318033
1181	856462	1317300
1182	857178	1316562
1183	857884	1315809
1184	858613	1315091
1185	859322	1314343
1186	860027	1313589
1187	860750	1312861
1188	861462	1312118
1189	862153	1311342
1190	862903	1310656
1191	863597	1309885
1192	864319	1309157
1193	865034	1308419
1194	865770	1307712
1195	866496	1306989
1196	867231	1306281
1197	867937	1305529
1198	868671	1304818
1199	869399	1304098
1200	870123	1303373
1201	870814	1302598
1202	871544	1301883
1203	872259	1301144
1204	873007	1300455
1205	873729	1299727
1206	874464	1299017
1207	875180	1298280
1208	875889	1297532
1209	876619	1296817
1210	877339	1296086
1211	878066	1295364
1212	878754	1294586
1213	879511	1293911
1214	880251	1293209
1215	880986	1292499
1216	881693	1291749
1217	882423	1291033
1218	883147	1290308
1219	883886	1289604
1220	884599	1288864
1221	885309	1288118
1222	886063	1287436
1223	886787	1286711
1224	887504	1285975
1225	888224	1285245
1226	888970	1284551
1227	889701	1283835
1228	890437	1283127
1229	891151	1282389
1230	891876	1281664
1231	892613	1280958
1232	893331	1280224
1233	894060	1279506
1234	894795	1278797
1235	895523	1278076
1236	896239	1277340
1237	896967	1276621
1238	897696	1275902
1239	898411	1275165
1240	899120	1274417
1241	899854	1273706
1242	900559	1272954
1243	901278	1272222
1244	902009	1271507
1245	902714	1270755
1246	903467	1270070
1247	904178	1269327
1248	904909	1268612
1249	905654	1267916
1250	906357	1267161
1251	907100	1266462
1252	907806	1265713
1253	908556	1265023
1254	909293	1264316
1255	909998	1263564
1256	910731	1262852
1257	911458	1262130
1258	912194	1261422
1259	912920	1260699
1260	913663	1260000
1261	914391	1259281
1262	915088	1258517
1263	915836	1257826
1264	916563	1257105
1265	917273	1256359
1266	918016	1255660
1267	918735	1254928
1268	919429	1254163
1269	920151	1253434
1270	920900	1252744
1271	921602	1251987
1272	922304	1251233
1273	923039	1250522
1274	923743	1249770
1275	924471	1249051
1276	925205	1248338
1277	925890	1247561
1278	926612	1246833
1279	927346	1246121
1280	928091	1245425
1281	928790	1244666
1282	929484	1243900
1283	930191	1243152
1284	930926	1242442
1285	931642	1241706
1286	932365	1240981
1287	933101	1240271
1288	933901	1239647
1289	934631	1238930
1290	935361	1238213
1291	936083	1237484
1292	936776	1236719
1293	937502	1235996
1294	938226	1235271
1295	938961	1234561
1296	939694	1233846
1297	940408	1233108
1298	941147	1232403
1299	941870	1231676
1300	942614	1230977
1301	943337	1230251
1302	944084	1229555
1303	944843	1228876
1304	945526	1228098
1305	946266	1227392
1306	946983	1226659
1307	947680	1225898
1308	948392	1225157
1309	949106	1224420
1310	949808	1223665
1311	950568	1222987
1312	951254	1222213
1313	951985	1221497
1314	952702	1220763
1315	953441	1220057
1316	954165	1219331
1317	954882	1218597
1318	955617	1217887
1319	956323	1217138
1320	957041	1216406
1321	957745	1215655
1322	958459	1214918
1323	959189	1214201
1324	959912	1213474
1325	960654	1212772
1326	961350	1212011
1327	962080	1211293
1328	962788	1210549
1329	963519	1209832
1330	964195	1209047
1331	964918	1208321
1332	965639	1207592
1333	966345	1206844
1334	967074	1206127
1335	967806	1205411
1336	968500	1204649
1337	969223	1203923
1338	969942	1203191
1339	970653	1202451
1340	971385	1201736
1341	972098	1200998
1342	972816	1200266
1343	973562	1199568
1344	974301	1198861
1345	975015	1198125
1346	975757	1197422
1347	976478	1196692
1348	977226	1195997
1349	977916	1195231
1350	978731	1194617
1351	979438	1193872
1352	980176	1193163
1353	980868	1192399
1354	981578	1191658
1355	982294	1190924
1356	983045	1190230
1357	983739	1189470
1358	984482	1188767
1359	985217	1188056
1360	985927	1187314
1361	986661	1186601
1362	987371	1185859
1363	988100	1185141
1364	988824	1184416
1365	989532	1183672
1366	990241	1182928
1367	990957	1182195
1368	991670	1181457
1369	992422	1180765
1370	993144	1180037
1371	993846	1179287
1372	994589	1178585
1373	995304	1177849
1374	996044	1177143
1375	996730	1176373
1376	997463	1175659
1377	998166	1174909
1378	998898	1174195
1379	999641	1173492
1380	1000362	1172763
1381	1001090	1172043
1382	1001840	1171349
1383	1002566	1170626
1384	1003252	1169857
1385	1003978	1169135
1386	1004693	1168400
1387	1005397	1167652
1388	1006137	1166945
1389	1006874	1166235
1390	1007583	1165493
1391	1008297	1164757
